"Time (s)","Latitude (째)","Longitude (째)","Height (m)","Velocity (m/s)","Direction (째)","Horizontal Accuracy (m)","Vertical Accuracy (째)"
1.765420867E2,6.046254534E1,2.693204798E1,3.473579887E0,9.509717233E-1,1.008766770E2,8.441494427E0,9.258471642E0
1.775420698E2,6.046254837E1,2.693206524E1,2.703625619E0,7.798850080E-1,8.360084484E1,8.406847872E0,9.233812622E0
1.785420538E2,6.046254898E1,2.693209295E1,2.714650777E0,9.712372731E-1,7.848630199E1,8.382447804E0,9.159473633E0
1.795420380E2,6.046255098E1,2.693211624E1,3.193273801E0,1.024008384E0,8.119177269E1,8.383513108E0,8.986008480E0
1.805420238E2,6.046254605E1,2.693213332E1,2.431670924E0,8.516246627E-1,9.260338006E1,8.321972684E0,8.818767968E0
1.815420097E2,6.046254401E1,2.693217034E1,2.920311218E0,1.212014481E0,9.429893755E1,8.362081020E0,9.041503572E0
1.825419962E2,6.046253709E1,2.693219761E1,2.583515917E0,1.375774026E0,1.034817695E2,8.308910365E0,8.725235954E0
1.835419824E2,6.046253218E1,2.693222466E1,2.579030727E0,1.473031102E0,1.058616173E2,8.348192299E0,8.410536324E0
1.845419691E2,6.046252737E1,2.693225433E1,2.599676641E0,1.551294970E0,1.070583801E2,8.351643104E0,9.380845405E0
1.855419577E2,6.046252456E1,2.693228937E1,2.752835135E0,1.599773269E0,1.038613486E2,8.342269450E0,8.906757212E0
1.865419449E2,6.046252126E1,2.693231921E1,2.830717052E0,1.576527492E0,1.035620463E2,8.359942501E0,8.786874720E0
1.875419335E2,6.046251538E1,2.693234604E1,2.502703039E0,1.563169502E0,1.087865656E2,8.371581289E0,8.719198194E0
1.885419228E2,6.046251359E1,2.693237556E1,2.112433915E0,1.544911695E0,1.042900089E2,8.310314408E0,8.708907575E0
1.895419118E2,6.046251029E1,2.693240586E1,2.215967747E0,1.575376243E0,1.050852047E2,8.294185960E0,8.456545962E0
1.905419005E2,6.046250656E1,2.693243641E1,2.123073435E0,1.602675441E0,1.047700004E2,8.258707114E0,8.425899975E0
1.915418917E2,6.046250337E1,2.693246688E1,2.356539061E0,1.587156049E0,1.036069751E2,8.265502760E0,8.264528620E0
1.925418807E2,6.046249571E1,2.693249623E1,2.836355518E0,1.587106541E0,1.040818685E2,8.253139973E0,8.141456282E0
1.935418712E2,6.046248984E1,2.693252377E1,2.689388798E0,1.585511809E0,1.085579401E2,8.333598478E0,8.079103190E0
1.945418619E2,6.046248536E1,2.693255212E1,2.635445343E0,1.591633154E0,1.093196451E2,8.274142765E0,7.976837748E0
1.955418524E2,6.046247978E1,2.693258143E1,2.697189898E0,1.580200723E0,1.130415345E2,8.320399522E0,8.015956204E0
1.965418441E2,6.046248049E1,2.693261349E1,2.509799433E0,1.570280586E0,1.049088934E2,8.367529327E0,8.101930424E0
1.975418351E2,6.046247781E1,2.693264308E1,2.672269926E0,1.572628305E0,1.061096417E2,8.403086580E0,8.120133676E0
1.985418265E2,6.046247669E1,2.693267510E1,2.935983919E0,1.604880456E0,1.035453664E2,8.397651446E0,8.139265690E0
1.995418186E2,6.046247711E1,2.693270286E1,2.563011118E0,1.526115203E0,1.000256074E2,8.369418723E0,8.090937325E0
2.005418094E2,6.046247338E1,2.693273076E1,2.502768286E0,1.526637966E0,1.017512629E2,8.340437692E0,8.193317568E0
2.015418013E2,6.046247068E1,2.693276111E1,2.885134797E0,1.588203729E0,1.042752614E2,8.258517044E0,8.362072202E0
2.025417938E2,6.046247214E1,2.693279000E1,2.479543591E0,1.572628766E0,1.036462063E2,8.262087278E0,8.522045416E0
2.035417858E2,6.046248044E1,2.693281837E1,2.411448406E0,1.507233042E0,8.314283493E1,8.265322659E0,8.563664856E0
2.045417783E2,6.046250436E1,2.693283442E1,2.632512240E0,1.624808645E0,4.285346974E1,8.198483228E0,8.607291411E0
2.055417711E2,6.046252002E1,2.693283792E1,2.719744936E0,1.630358542E0,2.416491516E1,8.214861373E0,8.163847522E0
2.065417632E2,6.046252947E1,2.693285914E1,2.568990515E0,1.618370965E0,3.067818082E1,8.241582258E0,7.676872052E0
2.075417560E2,6.046253607E1,2.693288907E1,2.561394380E0,1.593953655E0,4.449863100E1,8.297924093E0,7.244863644E0
2.085417490E2,6.046254220E1,2.693292435E1,2.587355765E0,1.646131210E0,5.645432905E1,8.452319102E0,7.556161733E0
2.095417416E2,6.046255279E1,2.693294584E1,3.300742292E0,1.609321272E0,5.257626784E1,8.429227338E0,7.325572788E0
2.105417341E2,6.046256023E1,2.693297304E1,3.607041272E0,1.622231105E0,5.718800867E1,8.528920343E0,7.066136710E0
2.115417283E2,6.046257240E1,2.693299678E1,3.458474086E0,1.618487104E0,5.123386020E1,8.529336791E0,7.017534398E0
2.125417207E2,6.046258048E1,2.693302109E1,3.673121653E0,1.601378290E0,4.774619386E1,8.451348410E0,6.792712661E0
2.135417136E2,6.046258943E1,2.693304494E1,3.540299639E0,1.608546175E0,4.671894497E1,8.512089383E0,6.663341067E0
2.145417067E2,6.046260016E1,2.693306149E1,2.999908434E0,1.562281890E0,4.253651879E1,8.572577772E0,6.563616343E0
2.155417002E2,6.046260866E1,2.693308927E1,3.170270697E0,1.610327168E0,4.377422904E1,8.691539842E0,6.367421758E0
2.165416940E2,6.046261092E1,2.693312493E1,3.968306798E0,1.574838367E0,5.668636500E1,8.634246936E0,6.120110229E0
2.175416871E2,6.046261692E1,2.693315577E1,3.555651099E0,1.632814222E0,6.212590458E1,8.561608755E0,5.971854800E0
2.185416802E2,6.046262449E1,2.693318201E1,3.254681525E0,1.611594630E0,6.018072842E1,8.480074459E0,6.019657384E0
2.195416739E2,6.046263684E1,2.693320316E1,3.357564714E0,1.624515099E0,5.264259736E1,8.426420332E0,6.135891518E0
2.205416679E2,6.046265333E1,2.693321292E1,3.026273327E0,1.632389518E0,3.273175888E1,8.482101420E0,6.098392427E0
2.215416613E2,6.046266016E1,2.693324269E1,3.169959839E0,1.614267640E0,4.425376374E1,8.449224538E0,5.983315190E0
2.225416553E2,6.046266024E1,2.693328473E1,2.714913172E0,1.614811621E0,6.070915749E1,8.386310256E0,5.944612017E0
2.235416486E2,6.046266523E1,2.693331256E1,2.658950506E0,1.614165481E0,6.249735696E1,8.265129674E0,6.073921637E0
2.245416427E2,6.046267115E1,2.693333927E1,2.157051350E0,1.595777450E0,6.378919863E1,8.280024093E0,6.165764005E0
2.255416362E2,6.046268233E1,2.693335866E1,2.330790351E0,1.574170272E0,5.090290618E1,8.357927660E0,6.282629303E0
2.265416297E2,6.046268232E1,2.693340157E1,2.581538988E0,1.687069182E0,6.813235752E1,8.399165310E0,6.325967270E0
2.275416245E2,6.046269592E1,2.693342192E1,2.972795763E0,1.660040442E0,5.797645316E1,8.342730792E0,6.210888373E0
2.285416174E2,6.046270330E1,2.693344846E1,3.101137789E0,1.640481380E0,6.083352079E1,8.266625800E0,6.098271378E0
2.295416110E2,6.046271083E1,2.693347432E1,3.162966593E0,1.628631766E0,6.124128041E1,8.289648279E0,6.177811615E0
2.305416051E2,6.046271958E1,2.693349531E1,2.855239040E0,1.582249224E0,5.642528038E1,8.324916633E0,6.209541853E0
2.315415987E2,6.046273017E1,2.693352016E1,3.048360216E0,1.639378500E0,5.423651351E1,8.293943278E0,6.165969621E0
2.325415925E2,6.046274119E1,2.693354133E1,3.224309477E0,1.622250289E0,5.201771246E1,8.322044229E0,6.143511016E0
2.335415872E2,6.046274985E1,2.693356666E1,3.281182962E0,1.629370154E0,5.258213417E1,8.403309009E0,6.126545002E0
2.345415803E2,6.046275683E1,2.693359080E1,2.932651429E0,1.611502228E0,5.791437724E1,8.512785678E0,6.248890603E0
2.355415751E2,6.046276287E1,2.693361926E1,3.369778954E0,1.646057313E0,6.020060055E1,8.498789147E0,6.235189780E0
2.365415691E2,6.046276826E1,2.693365633E1,3.860684499E0,1.653147241E0,5.172816097E1,8.728046534E0,7.006776267E0
2.375415621E2,6.046278247E1,2.693367396E1,4.030239788E0,1.653901573E0,4.952169702E1,8.842550927E0,7.763327234E0
2.385415571E2,6.046279454E1,2.693369333E1,3.741685561E0,1.643562653E0,5.250846496E1,9.028457360E0,8.704786217E0
2.395415508E2,6.046280652E1,2.693371678E1,4.223627809E0,1.656929131E0,4.829330915E1,9.228049866E0,9.434351088E0
2.405415446E2,6.046281843E1,2.693373866E1,4.569760834E0,1.644057281E0,4.854798520E1,9.195940355E0,9.740726419E0
2.415415393E2,6.046283004E1,2.693376339E1,4.670048211E0,1.647590637E0,5.083677633E1,9.321738821E0,9.889537078E0
2.425415326E2,6.046284180E1,2.693378157E1,4.451786774E0,1.653274808E0,5.179383391E1,9.383572971E0,9.852969000E0
2.435415270E2,6.046285330E1,2.693380309E1,4.711249145E0,1.635597351E0,5.006405958E1,9.471407599E0,1.004770721E1
2.445415208E2,6.046286844E1,2.693381915E1,4.903427344E0,1.657484131E0,4.376951070E1,9.568541210E0,1.050878673E1
2.455415156E2,6.046288068E1,2.693384200E1,5.087589219E0,1.661930971E0,4.556003127E1,9.654039683E0,1.072410738E1
2.465415089E2,6.046288983E1,2.693386813E1,5.349813172E0,1.660819027E0,5.121684965E1,9.605025368E0,1.107395733E1
2.475415035E2,6.046290194E1,2.693389230E1,5.879713161E0,1.662981045E0,5.128171348E1,9.508221509E0,1.112072232E1
2.485414975E2,6.046291272E1,2.693391593E1,5.911200917E0,1.652923345E0,5.428118724E1,9.343840865E0,1.098611631E1
2.495414910E2,6.046292144E1,2.693393915E1,5.655763552E0,1.612898013E0,5.841680833E1,9.309382446E0,1.111047063E1
2.505414855E2,6.046293023E1,2.693396225E1,5.882472081E0,1.639133408E0,5.958908440E1,9.121231493E0,1.104418068E1
2.515414799E2,6.046294270E1,2.693398047E1,6.496990923E0,1.625946021E0,5.463685732E1,9.110659466E0,1.097066936E1
2.525414746E2,6.046295475E1,2.693400021E1,6.586414971E0,1.654789142E0,5.040268225E1,9.138460777E0,1.087542604E1
2.535414683E2,6.046296919E1,2.693401655E1,6.953668716E0,1.678797892E0,4.070352881E1,9.048406528E0,1.110136026E1
2.545414622E2,6.046297798E1,2.693404064E1,7.021933731E0,1.657158207E0,4.729929294E1,9.027127536E0,1.088036782E1
2.555414568E2,6.046298567E1,2.693407033E1,7.338230180E0,1.669921429E0,5.446274619E1,9.098647073E0,1.014474184E1
2.565414510E2,6.046299832E1,2.693409225E1,7.486710425E0,1.663394070E0,5.160981551E1,9.079217029E0,9.721769282E0
2.575414461E2,6.046300647E1,2.693411828E1,7.537234170E0,1.643404439E0,5.279163292E1,9.130034509E0,9.397169470E0
2.585426950E2,6.046301522E1,2.693414285E1,7.528391168E0,1.620932467E0,5.362124586E1,9.041650282E0,8.866264408E0
2.595426925E2,6.046302252E1,2.693416983E1,7.316241655E0,1.615437342E0,5.578671253E1,9.039004528E0,8.922520415E0
2.605426730E2,6.046303691E1,2.693418913E1,7.751959569E0,1.664902703E0,4.833811022E1,9.018849085E0,9.055579863E0
2.615426625E2,6.046304869E1,2.693421040E1,7.829121426E0,1.669023534E0,4.745079623E1,8.937553823E0,8.722930725E0
2.625426434E2,6.046305621E1,2.693423885E1,7.780400409E0,1.671910572E0,5.262346402E1,8.829767669E0,8.546889549E0
2.635426103E2,6.046306331E1,2.693426606E1,7.581574541E0,1.674639722E0,5.515935765E1,8.965919425E0,8.955766609E0
2.645425905E2,6.046307455E1,2.693428355E1,7.088421365E0,1.658339355E0,4.936715136E1,9.021043577E0,9.174374785E0
2.655425682E2,6.046309061E1,2.693429243E1,6.931773391E0,1.660210773E0,3.081330848E1,8.936817804E0,9.253831839E0
2.665425340E2,6.046310969E1,2.693428619E1,7.229162862E0,1.674629309E0,1.144015851E1,9.042137729E0,9.478689133E0
2.675425122E2,6.046312734E1,2.693428188E1,7.843063936E0,1.647121220E0,5.124124810E0,9.055502325E0,1.013112068E1
2.685424910E2,6.046314146E1,2.693426357E1,7.735487395E0,1.668273780E0,3.428417256E2,9.158588214E0,1.062201867E1
2.695424559E2,6.046315119E1,2.693424272E1,6.751600094E0,1.560137857E0,3.280744095E2,9.219418394E0,1.055541119E1
2.705424349E2,6.046316399E1,2.693422932E1,7.458553329E0,1.650967444E0,3.287580697E2,9.278728398E0,1.055109980E1
2.715424153E2,6.046317319E1,2.693420033E1,7.316642521E0,1.673886252E0,3.183213541E2,9.363645626E0,1.059719200E1
2.725423803E2,6.046318637E1,2.693418343E1,7.075636514E0,1.677201709E0,3.228773657E2,9.377848734E0,1.038796572E1
2.735423477E2,6.046319754E1,2.693416350E1,7.352774445E0,1.691673333E0,3.224219771E2,9.525248788E0,1.081327184E1
2.745423160E2,6.046320349E1,2.693413098E1,6.708044257E0,1.731835280E0,3.076049244E2,9.589133124E0,1.078198226E1
2.755422852E2,6.046321365E1,2.693410451E1,7.532428696E0,1.687476591E0,3.080904086E2,9.642850165E0,1.053161050E1
2.765422561E2,6.046322845E1,2.693409441E1,8.617043422E0,1.532551536E0,3.209599360E2,9.738747441E0,1.035216221E1
2.775422285E2,6.046323995E1,2.693407502E1,8.512629363E0,1.645589434E0,3.259074273E2,9.847980466E0,1.043545483E1
2.785422010E2,6.046325486E1,2.693405914E1,8.094617279E0,1.696397668E0,3.303122883E2,9.956682181E0,1.056758095E1
2.795421764E2,6.046326435E1,2.693403387E1,8.256303222E0,1.711045649E0,3.236803504E2,9.989984778E0,1.053012035E1
2.805421507E2,6.046327099E1,2.693400314E1,8.915775477E0,1.678658918E0,3.078811748E2,1.005971220E1,1.046242502E1
2.815421271E2,6.046328338E1,2.693398373E1,8.592644253E0,1.682324346E0,3.128979343E2,1.024125948E1,1.051222001E1
2.825421044E2,6.046330258E1,2.693397865E1,9.233053437E0,1.658610261E0,3.298849582E2,1.042982801E1,1.052867859E1
2.835420825E2,6.046331658E1,2.693396277E1,9.759507014E0,1.690514616E0,3.303927321E2,1.046242826E1,1.066774247E1
2.845420617E2,6.046332781E1,2.693394513E1,9.693462902E0,1.667171798E0,3.304677174E2,1.048481678E1,1.057968125E1
2.855420408E2,6.046334326E1,2.693394057E1,9.718386074E0,1.649310350E0,3.363454738E2,1.072020850E1,1.059277348E1
2.865420207E2,6.046335267E1,2.693391165E1,9.518567553E0,1.659579169E0,3.222365233E2,1.070142438E1,1.074140580E1
2.875420030E2,6.046337119E1,2.693389943E1,9.618907909E0,1.665776770E0,3.184947484E2,1.084303791E1,1.163503442E1
2.885419844E2,6.046338057E1,2.693387900E1,9.018396775E0,1.590523721E0,3.045633118E2,1.097103527E1,1.208686877E1
2.895419663E2,6.046338955E1,2.693385996E1,8.079656079E0,1.381592402E0,3.039288006E2,1.090747974E1,1.228170549E1
2.905419484E2,6.046340780E1,2.693384617E1,8.080231203E0,1.538834694E0,3.192337571E2,1.088167225E1,1.225112896E1
2.915419316E2,6.046341271E1,2.693381870E1,7.076566488E0,1.404126923E0,3.073940939E2,1.077457471E1,1.206246933E1
2.925419155E2,6.046342369E1,2.693380147E1,6.258836555E0,1.366020810E0,3.162285333E2,1.086508372E1,1.245489961E1
2.935418997E2,6.046343622E1,2.693378175E1,5.668021313E0,1.543585752E0,3.287906734E2,1.084196251E1,1.294254322E1
2.945418839E2,6.046344901E1,2.693376181E1,5.475197217E0,1.583849024E0,3.282689989E2,1.081478408E1,1.314966917E1
2.955418680E2,6.046346058E1,2.693374027E1,5.753858536E0,1.582475230E0,3.223176881E2,1.076164679E1,1.327273657E1
2.965418530E2,6.046347418E1,2.693372850E1,5.854901927E0,1.587310859E0,3.231653749E2,1.085295134E1,1.321998673E1
2.975418392E2,6.046348705E1,2.693370791E1,5.996036164E0,1.659169417E0,3.192221976E2,1.095588718E1,1.353284992E1
2.985418245E2,6.046350166E1,2.693368846E1,7.481606392E0,1.659921234E0,3.194020086E2,1.100749775E1,1.285512497E1
2.995418108E2,6.046352017E1,2.693368006E1,7.700948690E0,1.695517066E0,3.292891959E2,1.117587221E1,1.291249269E1
3.005417979E2,6.046353373E1,2.693366422E1,7.791590314E0,1.663413651E0,3.288617942E2,1.122181544E1,1.269863511E1
3.015417843E2,6.046354654E1,2.693364466E1,7.857171627E0,1.676105811E0,3.239208260E2,1.122867232E1,1.263806472E1
3.025417711E2,6.046355710E1,2.693362018E1,8.002848243E0,1.640432961E0,3.148683809E2,1.128499068E1,1.278590463E1
3.035417583E2,6.046356962E1,2.693360325E1,8.253621070E0,1.650779618E0,3.109583389E2,1.130702367E1,1.265828407E1
3.045417458E2,6.046357759E1,2.693358080E1,7.420305590E0,1.562937330E0,3.088624324E2,1.127724876E1,1.224253920E1
3.055417331E2,6.046359131E1,2.693356392E1,7.401539004E0,1.636754118E0,3.142424641E2,1.129816962E1,1.188658378E1
3.065417206E2,6.046361165E1,2.693355776E1,8.378023851E0,1.660914774E0,3.289662623E2,1.134424141E1,1.203163861E1
3.075417095E2,6.046362849E1,2.693355249E1,8.328676486E0,1.626639512E0,3.381733065E2,1.141069419E1,1.220649393E1
3.085416969E2,6.046362903E1,2.693353242E1,7.336847448E0,1.075170118E0,3.195336029E2,1.140301968E1,1.211140784E1
3.095416856E2,6.046363787E1,2.693349950E1,6.448381013E0,1.475384394E0,3.072728473E2,1.141108940E1,1.245890834E1
3.105416741E2,6.046365374E1,2.693347746E1,6.793985173E0,1.639234679E0,3.138198055E2,1.148012438E1,1.302420044E1
3.115416621E2,6.046366049E1,2.693346103E1,5.581592446E0,1.418718540E0,3.095349195E2,1.154440130E1,1.316132140E1
3.125416505E2,6.046366212E1,2.693344433E1,4.380494096E0,9.651790938E-1,2.900182801E2,1.156758722E1,1.300254170E1
3.135416394E2,6.046366997E1,2.693342197E1,3.741542037E0,9.946871030E-1,3.007363219E2,1.156065925E1,1.297207337E1
3.145416291E2,6.046366697E1,2.693339367E1,2.652807350E0,1.106537605E0,2.841770328E2,1.152161627E1,1.297026720E1
3.155416169E2,6.046366502E1,2.693336691E1,1.934274471E0,1.181951891E0,2.681158461E2,1.148056905E1,1.346250936E1
3.165416063E2,6.046367173E1,2.693334247E1,1.360207502E0,1.229199306E0,2.829071942E2,1.151654536E1,1.338229283E1
3.175415967E2,6.046367364E1,2.693330973E1,8.425185746E-1,1.438006549E0,2.891164927E2,1.149025728E1,1.307112263E1
3.185415851E2,6.046368240E1,2.693327690E1,1.422820693E0,1.636002089E0,2.988774128E2,1.144910111E1,1.354317507E1
3.195415752E2,6.046369324E1,2.693324790E1,2.459587986E0,1.632281657E0,3.065294800E2,1.142904523E1,1.404044339E1
3.205415637E2,6.046370654E1,2.693322689E1,3.034903027E0,1.573950285E0,3.109850039E2,1.160147413E1,1.446534361E1
3.215415530E2,6.046372271E1,2.693320063E1,3.640697331E0,1.604015380E0,3.164330717E2,1.184825039E1,1.492131942E1
3.225415428E2,6.046373494E1,2.693317748E1,4.210043778E0,1.601975175E0,3.178429048E2,1.183564861E1,1.503551059E1
3.235415330E2,6.046374464E1,2.693315981E1,4.262701681E0,1.553985086E0,3.209776371E2,1.180039581E1,1.517739410E1
3.245415225E2,6.046375856E1,2.693314827E1,4.227410605E0,1.479832522E0,3.299175622E2,1.182841760E1,1.505251691E1
3.255415120E2,6.046377525E1,2.693314436E1,4.693490814E0,1.584497589E0,3.427722574E2,1.192419755E1,1.541268369E1
3.265415025E2,6.046378339E1,2.693313803E1,4.421081446E0,1.543813887E0,3.458187429E2,1.174322452E1,1.526965192E1
3.275414914E2,6.046379887E1,2.693313484E1,5.252756061E0,1.606587661E0,3.538968167E2,1.175650898E1,1.515497229E1
3.285414816E2,6.046380854E1,2.693314432E1,5.816088050E0,1.523986937E0,8.580910622E0,1.158198776E1,1.473347151E1
3.295414716E2,6.046382040E1,2.693314364E1,6.525620684E0,1.541705595E0,8.687747312E0,1.155211009E1,1.419877681E1
3.305414624E2,6.046383389E1,2.693315164E1,6.113628686E0,1.625701653E0,1.009232383E1,1.150247257E1,1.364828062E1
3.315414525E2,6.046384800E1,2.693315492E1,6.614747240E0,1.632013327E0,9.712198747E0,1.142995182E1,1.402251782E1
3.325414419E2,6.046386153E1,2.693316361E1,6.775879269E0,1.556530054E0,1.600608724E1,1.145776540E1,1.473957382E1
3.335414326E2,6.046387276E1,2.693318396E1,7.206108637E0,1.572804500E0,2.738020791E1,1.158638118E1,1.485033935E1
3.345414226E2,6.046388314E1,2.693320836E1,7.053121893E0,1.626541400E0,3.522329187E1,1.152382835E1,1.483183702E1
3.355414131E2,6.046389450E1,2.693322853E1,6.921581833E0,1.618155149E0,4.002090149E1,1.156011154E1,1.499801291E1
3.365414026E2,6.046390689E1,2.693324597E1,6.597028857E0,1.606213568E0,3.690939065E1,1.141763233E1,1.473467239E1
3.375414591E2,6.046391757E1,2.693326599E1,6.692071076E0,1.547008540E0,4.019068099E1,1.149802724E1,1.517960837E1
3.385413836E2,6.046393348E1,2.693327980E1,6.882217495E0,1.581363975E0,3.651240467E1,1.162539839E1,1.529743523E1
3.395413731E2,6.046394461E1,2.693329322E1,6.978762382E0,1.562753032E0,3.397975467E1,1.148914177E1,1.525867447E1
3.405413634E2,6.046396030E1,2.693330274E1,7.432621000E0,1.559872884E0,2.883440501E1,1.138032442E1,1.536216709E1
3.415413541E2,6.046397428E1,2.693331920E1,7.613487600E0,1.568319672E0,3.129866765E1,1.130778432E1,1.538218087E1
3.425413438E2,6.046398461E1,2.693333204E1,7.565333976E0,1.482109361E0,3.402839950E1,1.126416112E1,1.522677111E1
3.435413346E2,6.046399549E1,2.693333705E1,7.361786645E0,1.441542827E0,2.964741694E1,1.096067022E1,1.474351134E1
3.445413245E2,6.046400187E1,2.693334750E1,7.262156562E0,1.357861187E0,3.891463309E1,1.088075212E1,1.453793987E1
3.455413152E2,6.046400349E1,2.693336851E1,7.162548848E0,1.388659706E0,5.744402909E1,1.067205635E1,1.430115858E1
3.465413060E2,6.046400061E1,2.693337284E1,6.990130217E0,9.438509551E-1,7.786365782E1,1.051436128E1,1.406590543E1
3.475412958E2,6.046399326E1,2.693334986E1,6.863961563E0,2.401260478E-1,1.998907107E2,1.047104620E1,1.255581525E1
3.485412867E2,6.046398604E1,2.693331499E1,6.196303862E0,7.653299261E-1,2.483552119E2,1.038985934E1,1.221924129E1
3.495412771E2,6.046398088E1,2.693330550E1,6.707998982E0,8.024895340E-1,2.462727445E2,1.036762519E1,1.213060268E1
3.505412669E2,6.046396771E1,2.693328224E1,6.618602006E0,1.294836098E0,2.344921450E2,1.023918878E1,1.010479142E1
3.515412576E2,6.046395846E1,2.693325678E1,6.610547090E0,1.625338330E0,2.324731172E2,9.964661900E0,7.289784894E0
3.525412482E2,6.046395032E1,2.693323667E1,6.612262224E0,1.645057124E0,2.318328898E2,9.703861347E0,6.508817460E0
3.535412382E2,6.046394110E1,2.693321756E1,7.991143879E0,1.675574473E0,2.325030833E2,9.456100820E0,5.092504557E0
3.545412288E2,6.046393224E1,2.693320007E1,9.279808744E0,1.523727098E0,2.322620000E2,9.220728345E0,3.976718529E0
3.555412198E2,6.046392688E1,2.693318577E1,9.918684589E0,1.259998800E0,2.304953498E2,8.997124491E0,3.013949325E0
3.565412279E2,6.046392025E1,2.693316400E1,1.041825255E1,1.294094419E0,2.299182300E2,8.784700841E0,3.000000000E0